Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age
Bachelor,Married,61.074,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0,63
PhD,Married,31.686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,57
Bachelor,Married,80.134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,1,1,0,0,1,49
Bachelor,Married,75.027,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0,68
PhD,Married,67.546,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0,33
Master,Together,65.176,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0,52
Master,Single,31.16,1,0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0,46
Bachelor,Single,29.938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0,36
Bachelor,Divorced,102.692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,1,47
Master,Together,26.49,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,63
Bachelor,Together,75.702,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,0,0,0,0,0,54
PhD,Single,30.899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,47
PhD,Together,63.342,0,1,48,918,21,118,13,10,21,3,8,3,5,6,0,1,0,0,0,0,0,60
Bachelor,Single,45.989,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,0,0,0,0,0,57
Bachelor,Single,18.701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,0,57
PhD,Single,40.737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,64
Bachelor,Divorced,15.287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,1,0,0,0,0,0,1,42
PhD,Divorced,69.674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,0,53
Master,Married,44.159,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,0,51
PhD,Married,37.717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,43
Master,Together,43.776,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,0,1,69
Master,Married,38.179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,55
Bachelor,Married,80.124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,58
PhD,Married,38.097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,1,0,0,0,0,0,1,51
Bachelor,Married,72.94,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,0,0,0,0,0,51
Bachelor,Together,22.07,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,51
Bachelor,Single,69.267,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,0,1,68
Master,Single,31.788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,0,0,0,0,0,1,0,38
PhD,Together,61.905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,46
Bachelor,Married,29.315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,61
Bachelor,Divorced,33.378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,0,0,0,0,0,58
PhD,Together,66.313,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,0,0,0,0,0,58
Bachelor,Single,60.714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,0,0,0,0,0,1,65
Master,Together,77.882,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,40
PhD,Single,69.867,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,0,1,35
Master,Divorced,63.841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,0,53
Basic,Married,24.48,1,0,46,4,19,9,28,25,17,3,3,0,4,7,0,0,0,0,0,0,0,40
Bachelor,Together,51.369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,45
Bachelor,Together,37.76,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,75
PhD,Together,65.64,0,1,74,204,7,149,20,15,66,1,5,1,8,2,0,0,0,0,0,0,0,47
Master,Married,44.319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,0,0,0,0,0,0,0,46
Bachelor,Married,30.631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,0,0,0,0,0,0,0,47
Bachelor,Together,75.278,0,0,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,0,69
Master,Together,50.898,1,1,88,285,28,242,55,114,135,13,6,2,12,5,0,0,0,0,0,0,0,65
Bachelor,Widow,79.946,0,0,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,55
Master,Divorced,35.416,0,0,62,248,3,81,4,3,51,3,7,1,5,8,0,0,0,0,0,0,0,72
Master,Together,32.414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,37
Bachelor,Together,38.361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,0,0,0,0,0,0,0,52
Bachelor,Married,82.497,0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,41
Bachelor,Together,16.626,2,0,76,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,50
Bachelor,Together,29.672,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,56
Master,Together,55.951,0,1,62,1241,0,80,0,13,40,3,3,6,11,8,0,1,0,0,1,0,0,69
Master,Divorced,35.388,1,0,20,6,4,7,4,3,8,1,1,0,3,7,0,0,0,0,0,0,0,33
Master,Together,42.386,1,0,43,65,4,16,0,4,11,1,3,0,3,8,0,0,0,0,0,0,0,35
Bachelor,Single,68.627,0,0,45,395,15,263,60,54,38,1,2,3,6,1,0,0,0,0,0,0,0,39
PhD,Divorced,57.912,0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,56
Bachelor,Divorced,35.246,1,1,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,0,63
Master,Together,58.821,0,1,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,0,65
PhD,Married,46.377,1,0,89,37,0,46,4,3,0,1,2,1,3,4,0,0,0,0,0,0,0,43
Bachelor,Single,39.747,1,0,43,80,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,33
Bachelor,Together,23.976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,0,0,0,0,0,0,0,37
Master,Married,80.95,0,0,44,525,147,112,219,147,63,1,6,7,9,2,0,0,0,1,0,0,0,60
Bachelor,Widow,27.038,0,0,64,1,26,25,17,23,15,1,3,0,3,9,0,0,0,0,0,0,1,55
Bachelor,Single,77.457,0,0,85,675,11,400,15,45,11,1,2,5,10,1,0,0,1,0,0,0,0,74
Master,Married,64.1,0,1,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,0,57
Master,Together,42.67,0,0,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,29
Bachelor,Divorced,12.571,1,0,86,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,45
Bachelor,Married,22.574,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,54
Bachelor,Married,52.24725135379061,0,0,69,861,138,461,60,30,61,1,6,5,12,3,0,1,0,1,0,0,0,32
Master,Single,70.893,0,0,42,768,44,561,77,44,14,1,6,6,10,3,0,0,0,0,0,0,0,45
Bachelor,Married,54.198,1,1,13,185,0,28,3,2,17,6,3,1,6,4,0,0,0,0,0,0,0,55
Master,Together,28.839,1,1,86,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,65
Bachelor,Married,40.321,1,1,59,44,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,49
Bachelor,Single,66.503,1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,36
Bachelor,Married,30.833,1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,70
Bachelor,Single,52.24725135379061,1,2,67,738,20,172,52,50,20,6,2,3,10,7,0,1,0,1,0,0,0,51
Bachelor,Married,64.795,0,1,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,50
Bachelor,Married,34.421,1,0,81,3,3,7,6,2,9,1,1,0,2,7,0,0,0,0,0,0,0,47
PhD,Divorced,47.025,1,1,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,56
PhD,Divorced,64.325,0,1,41,731,60,353,78,12,73,5,10,3,5,7,0,0,0,0,0,0,0,60
Bachelor,Single,40.464,0,1,78,424,17,118,7,23,41,6,8,2,8,8,0,0,0,0,0,0,0,68
Bachelor,Married,62.187,0,0,49,792,0,275,45,45,126,1,4,8,5,3,0,0,0,0,0,0,0,64
PhD,Divorced,14.849,1,0,39,21,2,28,3,2,9,3,2,0,4,8,0,0,0,0,0,0,0,45
Bachelor,Married,27.255,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,37
PhD,Married,54.432,2,1,37,33,0,5,0,0,0,1,1,0,3,4,0,0,0,0,0,0,0,71
PhD,Single,29.999,1,0,22,68,7,59,10,5,11,4,3,1,4,8,0,0,0,0,0,0,0,35
Bachelor,Single,24.072,1,0,79,9,1,6,3,0,4,1,1,0,2,8,0,0,0,0,0,0,0,38
PhD,Single,33.996,0,0,46,40,2,15,8,0,6,1,1,1,3,4,0,0,0,0,0,0,0,32
PhD,Married,66.334,0,1,82,909,11,218,0,0,23,2,9,3,5,5,0,0,0,0,0,0,1,65
Master,Married,35.178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,50
Bachelor,Together,22.01,1,0,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,0,38
Bachelor,Divorced,62.204,0,2,38,317,46,247,151,46,139,1,4,5,12,3,0,0,0,0,0,0,0,61
Bachelor,Divorced,75.693,0,0,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,0,1,53
Bachelor,Married,30.675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,49
Bachelor,Together,83.003,0,0,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,0,1,56
Bachelor,Single,68.655,0,0,95,456,19,832,75,118,38,1,4,5,11,3,0,0,0,0,0,0,0,33
Bachelor,Divorced,41.411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,35
PhD,Married,55.212,0,1,65,1103,0,45,0,0,34,3,4,2,11,8,0,1,0,0,1,0,0,52
PhD,Together,59.292,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,0,71
Basic,Together,27.19,1,0,13,1,6,7,0,1,3,1,1,0,2,8,1,0,0,0,0,0,1,48
Bachelor,Divorced,82.623,0,0,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,69
Bachelor,Married,44.3,1,1,65,30,0,9,0,0,3,2,1,0,3,6,0,0,0,0,0,0,0,56
Bachelor,Divorced,84.835,0,0,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,0,1,51
Bachelor,Widow,30.372,1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,50
Master,Married,33.181,1,0,90,9,0,3,0,0,4,1,1,0,2,6,1,0,0,0,0,0,0,45
Bachelor,Married,71.113,0,1,95,495,33,255,11,33,8,4,6,7,9,4,0,0,0,0,0,0,0,64
Bachelor,Married,71.952,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,35
PhD,Single,69.759,0,0,38,452,20,514,13,30,0,3,4,6,5,3,0,0,0,0,0,0,1,55
Bachelor,Married,72.099,0,0,18,546,91,410,119,0,22,1,3,4,10,1,0,0,0,0,0,0,0,47
PhD,Single,60.0,0,1,57,1048,0,217,0,0,12,5,11,3,5,6,0,0,0,0,0,0,0,45
Bachelor,Single,38.643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,0,0,0,0,0,1,0,43
Bachelor,Married,50.737,0,1,61,78,0,11,0,0,10,1,2,0,4,6,0,1,0,0,0,0,0,66
PhD,Married,68.462,0,0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,52
Master,Married,65.073,0,0,65,629,17,177,69,0,8,1,5,3,5,2,0,0,0,0,0,1,0,78
PhD,Together,46.681,0,2,52,269,15,69,15,19,38,2,4,6,4,5,0,0,0,0,0,0,0,73
Bachelor,Married,78.618,0,0,87,736,163,818,212,163,61,1,4,7,10,2,0,1,0,0,0,0,0,64
PhD,Widow,62.187,0,1,38,512,0,83,0,0,41,3,6,2,10,4,0,0,0,0,0,0,0,52
Bachelor,Married,28.442,2,0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,43
PhD,Married,37.717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,43
Bachelor,Married,51.479,1,1,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,0,54
Bachelor,Single,54.803,0,1,65,404,0,92,28,27,142,2,6,2,9,4,0,0,0,0,0,0,0,52
Bachelor,Married,79.53,0,0,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,0,61
Bachelor,Divorced,31.615,1,0,82,2,3,20,6,11,9,2,2,0,3,7,0,0,0,0,0,0,0,45
Bachelor,Together,72.025,0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,59
PhD,Single,52.614,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,46
Master,Married,35.684,1,0,66,10,4,7,0,6,3,1,1,0,3,6,0,0,0,0,0,0,0,37
Bachelor,Married,48.178,1,1,69,159,4,45,6,2,38,6,5,1,4,8,0,0,0,0,0,0,0,46
Master,Single,29.548,1,0,52,7,1,6,3,1,11,1,1,1,2,4,1,0,0,0,0,0,0,51
Bachelor,Single,63.81,0,1,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,0,55
PhD,Single,38.578,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,1,49
Master,Single,46.098,1,1,86,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,46
Bachelor,Single,22.585,0,0,23,3,9,15,13,2,39,1,1,1,2,9,1,0,0,0,0,0,1,51
Bachelor,Single,30.279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,32
PhD,Together,66.426,0,1,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,60
Bachelor,Single,30.822,1,0,92,3,9,13,2,12,12,1,1,0,3,7,0,0,0,0,0,0,0,52
PhD,Married,33.581,2,0,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,52
Bachelor,Married,19.986,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,36
Bachelor,Widow,27.421,0,0,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,67
Master,Married,35.688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,48
Master,Single,36.143,1,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,40
Bachelor,Single,10.245,1,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,50
Master,Together,43.795,0,1,11,314,11,53,4,3,107,3,7,3,4,7,0,1,0,0,0,0,1,53
Bachelor,Together,63.381,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,61
Bachelor,Together,38.823,0,1,56,70,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,72
PhD,Divorced,83.664,1,1,57,866,21,151,28,21,86,3,2,2,12,5,0,0,0,0,0,0,0,53
Bachelor,Together,90.3,0,0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,42
Master,Together,62.499,1,0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,42
Bachelor,Single,74.293,0,0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,28
PhD,Married,51.012,0,0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,0,75
Master,Married,70.777,0,1,80,554,35,113,0,7,78,3,5,3,12,3,0,0,0,0,0,0,0,53
PhD,Together,68.682,0,0,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,0,30
Bachelor,Married,43.824,1,1,18,96,1,42,12,3,32,4,3,1,4,8,0,0,0,0,0,0,0,50
Bachelor,Together,15.345,1,0,51,5,2,16,3,2,19,2,1,1,2,8,0,0,0,0,0,0,1,37
Bachelor,Single,23.442,1,0,71,2,0,6,8,6,5,1,1,0,3,7,0,0,0,0,0,0,0,34
Master,Together,14.515,1,0,71,6,4,9,6,36,35,4,2,2,3,7,0,0,0,0,0,0,1,41
Master,Divorced,31.395,1,1,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,0,65
Bachelor,Together,75.276,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,56
Bachelor,Single,42.373,1,1,83,67,5,61,3,8,19,5,2,1,5,5,0,0,0,0,0,0,0,47
Bachelor,Together,30.507,0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,61
PhD,Single,55.521,1,2,11,416,0,26,0,0,4,9,6,3,6,7,0,1,0,0,0,0,1,66
Bachelor,Married,48.006,1,1,55,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,56
PhD,Single,27.213,1,0,19,19,3,26,10,9,3,3,2,0,4,8,0,0,0,0,0,0,1,49
PhD,Divorced,65.808,1,1,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,50
PhD,Together,30.351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,0,47
Bachelor,Married,50.437,0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,58
Master,Single,23.616,1,0,76,4,22,11,3,7,32,2,3,0,3,8,0,0,0,0,0,0,1,39
Bachelor,Married,53.858,0,1,50,407,53,221,58,150,26,4,4,3,6,4,0,0,0,0,0,0,0,45
PhD,Married,66.465,0,1,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,66
Bachelor,Single,46.923,1,0,90,85,44,54,102,78,6,3,5,1,7,7,0,0,0,0,0,0,0,34
Bachelor,Together,75.072,0,1,83,583,34,309,0,22,125,2,5,4,8,3,0,0,0,0,0,0,0,59
PhD,Married,75.865,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,0,0,0,0,0,78
Master,Together,19.789,1,0,24,2,5,9,28,6,28,3,2,1,3,5,1,0,0,0,0,0,0,46
Bachelor,Together,80.134,0,0,11,966,26,282,52,26,26,1,2,7,11,5,0,1,1,1,1,0,0,27
Bachelor,Single,91.065,0,0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,0,1,40
Master,Married,49.505,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,50
PhD,Married,37.401,1,0,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48
Bachelor,Married,30.096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38
Master,Together,18.492,1,0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,39
Master,Married,82.584,0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,0,1,47
PhD,Married,93.027,0,0,77,1285,42,716,55,0,21,0,7,10,5,2,0,0,1,0,0,0,0,80
Bachelor,Married,48.686,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,68
Bachelor,Married,92.91,0,0,42,551,137,792,179,103,33,1,6,7,13,1,0,1,1,1,0,0,0,35
Bachelor,Married,75.433,1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,32
Master,Together,10.404,1,0,52,2,2,11,10,6,12,2,1,0,4,5,0,0,0,0,0,0,0,32
Bachelor,Married,61.314,0,1,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,53
PhD,Single,84.865,0,0,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,0,1,60
Bachelor,Married,42.387,1,0,42,235,0,235,19,4,191,5,8,1,7,8,0,0,0,0,0,0,0,32
Master,Together,67.309,1,1,76,515,47,181,149,95,95,15,9,6,9,7,0,0,0,0,0,0,0,54
Bachelor,Married,75.236,0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,57
Bachelor,Single,30.015,1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,51
Master,Together,50.943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,65
Bachelor,Divorced,67.272,0,1,12,357,35,271,28,28,14,3,6,2,12,5,0,0,0,0,0,0,0,55
Master,Widow,51.529,0,1,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,72
PhD,Married,32.011,1,0,89,99,0,15,2,1,5,3,2,1,4,7,0,0,0,0,0,0,0,50
Master,Married,7.5,1,0,96,1,11,5,4,6,9,2,2,0,3,8,0,0,0,0,0,0,0,35
Bachelor,Married,28.691,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,0,0,0,0,0,32
PhD,Married,56.223,0,1,72,77,28,31,16,0,4,2,2,1,5,4,0,0,0,0,0,0,0,73
Bachelor,Married,18.1,0,0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,75
Bachelor,Single,30.279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,0,0,0,0,0,32
Master,Married,20.13,0,0,99,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,47
Bachelor,Divorced,23.295,0,0,72,0,0,1,2,12,5,1,1,0,2,8,0,0,0,0,0,0,0,62
Master,Divorced,42.618,1,0,92,76,14,74,13,5,10,2,5,0,4,8,0,0,0,0,0,0,0,49
Bachelor,Single,81.246,0,0,87,398,190,537,61,156,37,1,4,5,7,1,1,0,0,1,0,0,0,57
Bachelor,Married,24.027,1,0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,45
PhD,Married,55.707,0,1,91,208,7,82,30,66,35,2,3,2,9,3,0,0,0,0,0,0,0,68
Bachelor,Single,57.959,0,1,71,430,16,322,43,24,33,5,4,7,11,3,0,0,0,0,0,0,0,66
Bachelor,Married,56.796,0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,52
Master,Single,36.23,1,0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,0,0,0,0,0,50
Master,Married,70.829,1,1,87,141,70,106,72,19,23,2,4,2,8,3,0,0,0,0,0,0,0,41
Bachelor,Married,65.991,0,1,21,507,19,364,25,47,9,3,9,5,10,7,0,0,0,0,0,0,0,45
Bachelor,Married,38.988,1,2,90,164,24,103,12,3,42,7,5,1,6,8,0,0,0,0,0,0,0,49
Master,Single,89.572,0,0,44,606,24,974,197,194,64,1,7,7,9,4,0,1,0,1,0,0,1,55
Master,Married,42.207,1,0,71,116,11,72,3,17,46,4,4,1,5,6,1,0,0,0,0,0,1,37
Bachelor,Married,50.3,0,1,52,143,15,60,24,23,5,2,2,1,8,2,0,0,0,0,0,0,0,69
Master,Together,66.664,0,0,78,398,96,447,220,96,32,1,5,7,6,3,0,0,0,0,0,0,0,39
Bachelor,Married,60.597,0,1,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,0,1,57
Bachelor,Widow,70.165,0,0,60,161,0,253,199,191,122,1,3,7,11,1,0,0,0,0,0,0,0,72
PhD,Widow,50.52,0,1,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,63
Bachelor,Married,80.124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,0,0,58
Bachelor,Married,33.183,1,0,46,7,5,39,17,15,37,2,4,0,3,7,0,0,0,0,0,0,0,46
PhD,Single,66.582,0,0,83,789,25,420,16,38,0,1,2,8,9,1,0,0,0,0,0,0,0,52
PhD,Together,75.261,0,0,17,1239,17,413,23,34,17,1,5,6,5,2,0,1,1,0,0,0,1,66
Bachelor,Widow,31.88,1,0,13,4,1,5,2,0,3,1,1,0,2,8,0,0,0,0,0,0,0,51
Bachelor,Married,53.79,0,2,86,335,42,127,28,5,5,3,7,2,8,6,0,0,0,0,0,0,0,70
PhD,Together,49.269,1,0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,0,0,0,0,0,50
Bachelor,Married,61.456,0,1,47,563,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,46
Bachelor,Married,37.406,1,0,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,0,1,41
PhD,Together,56.937,1,0,81,746,8,125,11,8,8,7,8,6,9,6,0,1,0,0,0,0,1,40
Bachelor,Married,38.415,1,1,91,22,1,13,4,0,4,2,1,0,3,7,0,0,0,0,0,0,0,43
Bachelor,Single,20.518,1,0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,33
Bachelor,Married,62.503,0,1,40,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,65
PhD,Single,41.644,1,1,67,20,3,4,2,0,2,2,1,0,3,3,0,0,0,0,0,0,0,49
Master,Married,55.842,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,44
PhD,Married,62.01,0,1,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,49
Bachelor,Married,41.124,1,0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,44
Master,Married,38.961,1,0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,48
Master,Divorced,37.76,1,0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,49
Bachelor,Single,32.233,1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,47
Bachelor,Married,43.057,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,46
Master,Together,83.151,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,61
PhD,Divorced,78.825,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,57
Master,Together,65.104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,45
Bachelor,Married,60.093,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,47
Bachelor,Married,14.045,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,52
Master,Widow,28.457,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,69
PhD,Together,78.952,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,63
